symbol,entry_time,exit_time,exit_time_15m,side,setup,matched_rule,r_multiple,r15m,hours_to_expiry,expiry_blocked,applied_risk_pct,pretp1,taken,pnl_krw
BNBUSDT,2025-09-02 08:00:00+00:00,2025-09-03 12:00:00+00:00,2025-09-03 13:30:00+00:00,short,a_fvg_absent+a_ob+a_room+a_score_ge13+a_trend_counter,a_fvg_absent+a_ob+a_room+a_score_ge13+a_trend_counter||range||short,0.1764739054034805,0.1764739054034805,576.0,False,3.924191004535349,False,True,14415585.0
AVAXUSDT,2025-09-02 08:00:00+00:00,2025-09-02 12:00:00+00:00,2025-09-02 12:30:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,0.9330821390982256,1.7939293665410931,576.0,False,1.056555032293037,False,False,0.0
AVAXUSDT,2025-09-03 20:00:00+00:00,2025-09-04 04:00:00+00:00,2025-09-04 04:30:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,-1.151386205265354,-1.1680558478832803,540.0,False,1.6227227595325122,True,False,0.0
LINKUSDT,2025-09-04 12:00:00+00:00,2025-09-04 16:00:00+00:00,2025-09-04 16:00:00+00:00,long,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||up||long,-1.191603305319319,-1.2186692677070832,524.0,False,1.056555032293037,True,True,-26988381.0
BTCUSDT,2025-09-04 20:00:00+00:00,2025-09-05 04:00:00+00:00,2025-09-05 07:15:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,-1.044855830578388,-1.0448558305783875,516.0,False,1.274894730091847,True,True,-27561401.0
DOGEUSDT,2025-09-07 20:00:00+00:00,2025-09-08 00:00:00+00:00,2025-09-08 00:00:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,-1.083126053445748,-1.0856553398058255,444.0,False,1.274894730091847,True,True,-28256142.0
AVAXUSDT,2025-09-11 12:00:00+00:00,2025-09-13 12:00:00+00:00,2025-09-13 15:45:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,0.7199215705822027,0.7199215705822027,356.0,False,0.996462384418414,False,False,0.0
AVAXUSDT,2025-09-14 12:00:00+00:00,2025-09-14 16:00:00+00:00,2025-09-14 16:00:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-1.0592950727561743,-1.0593691060538457,284.0,False,0.996462384418414,True,False,0.0
ETHUSDT,2025-09-17 20:00:00+00:00,2025-09-18 04:00:00+00:00,2025-09-18 00:15:00+00:00,long,a_fvg_absent+a_room+a_score_ge13,a_fvg_absent+a_room+a_score_ge13||range||long,2.416776403771585,2.258510911085777,204.0,False,0.0,False,False,0.0
SOLUSDT,2025-09-23 04:00:00+00:00,2025-09-25 04:00:00+00:00,2025-09-25 07:45:00+00:00,short,a_sweep+a_trend_counter+a_vol_expansion+a_volume,a_sweep+a_trend_counter+a_vol_expansion+a_volume||down||short,1.664946253823698,1.6649462538236983,76.0,False,3.5000000000000004,False,True,120699987.0
