symbol,side,entry_ms,exit_ms,entry,sl,K,conf,r_v3,exit_reason,hold_h,entry_time,exit_time
BNBUSDT,short,1664640000000,1664705700000,283.96,285.7653714285714,2.0,False,2.0,TP,18.25,2022-10-01 16:00:00+00:00,2022-10-02 10:15:00+00:00
BNBUSDT,long,1666900800000,1667208600000,286.03,272.4466857142857,3.0,True,3.0,TP,85.5,2022-10-27 20:00:00+00:00,2022-10-31 09:30:00+00:00
BNBUSDT,long,1667923200000,1667937600000,325.42,322.50178571428575,2.0,False,-1.0,SL,4.0,2022-11-08 16:00:00+00:00,2022-11-08 20:00:00+00:00
BNBUSDT,short,1668038400000,1668087000000,284.58,290.74053571428567,3.0,True,-1.0,SL,13.5,2022-11-10 00:00:00+00:00,2022-11-10 13:30:00+00:00
BNBUSDT,short,1668283200000,1668746700000,284.35,400.93948571428575,2.0,False,0.11330352749280043,time_exit,128.75,2022-11-12 20:00:00+00:00,2022-11-18 04:45:00+00:00
BNBUSDT,long,1673438400000,1673479800000,277.2,275.2508,3.0,True,3.0,TP,11.5,2023-01-11 12:00:00+00:00,2023-01-11 23:30:00+00:00
BNBUSDT,long,1673539200000,1674002700000,282.6,271.6750285714286,3.0,True,1.5533221401036639,time_exit,128.75,2023-01-12 16:00:00+00:00,2023-01-18 00:45:00+00:00
BNBUSDT,long,1673856000000,1673870400000,295.57,293.67053571428573,3.0,True,3.0,TP,4.0,2023-01-16 08:00:00+00:00,2023-01-16 12:00:00+00:00
BNBUSDT,long,1674590400000,1674604800000,306.31,301.75097142857146,2.0,False,-1.0,SL,4.0,2023-01-24 20:00:00+00:00,2023-01-25 00:00:00+00:00
BNBUSDT,long,1675396800000,1675425600000,323.61,318.8724,2.0,False,2.0,TP,8.0,2023-02-03 04:00:00+00:00,2023-02-03 12:00:00+00:00
BNBUSDT,short,1676505600000,1676580300000,326.55,332.3943428571428,2.0,False,2.0,TP,20.75,2023-02-16 00:00:00+00:00,2023-02-16 20:45:00+00:00
BNBUSDT,long,1676592000000,1676663100000,306.95,302.8876,2.0,False,2.0,TP,19.75,2023-02-17 00:00:00+00:00,2023-02-17 19:45:00+00:00
BNBUSDT,short,1678190400000,1678290300000,287.85,292.8322857142857,2.0,False,-1.0,SL,27.75,2023-03-07 12:00:00+00:00,2023-03-08 15:45:00+00:00
BNBUSDT,long,1678809600000,1678825800000,310.5,308.22535714285715,3.0,True,-1.0,SL,4.5,2023-03-14 16:00:00+00:00,2023-03-14 20:30:00+00:00
BNBUSDT,long,1678953600000,1678970700000,315.11,309.3756,2.0,False,-1.0,SL,4.75,2023-03-16 08:00:00+00:00,2023-03-16 12:45:00+00:00
BNBUSDT,short,1679788800000,1679832000000,323.74,327.7616,2.0,False,-1.0,SL,12.0,2023-03-26 00:00:00+00:00,2023-03-26 12:00:00+00:00
BNBUSDT,short,1680048000000,1680066000000,313.74,315.1119642857143,3.0,True,-1.0,SL,5.0,2023-03-29 00:00:00+00:00,2023-03-29 05:00:00+00:00
BNBUSDT,short,1680465600000,1680929100000,312.75,319.7732,3.0,True,0.19791548012301963,time_exit,128.75,2023-04-02 20:00:00+00:00,2023-04-08 04:45:00+00:00
BNBUSDT,long,1682625600000,1682640900000,332.01,327.9447428571429,3.0,True,-1.0,SL,4.25,2023-04-27 20:00:00+00:00,2023-04-28 00:15:00+00:00
BNBUSDT,short,1683864000000,1684327500000,305.8,316.70091428571425,3.0,True,-0.2541071260077786,time_exit,128.75,2023-05-12 04:00:00+00:00,2023-05-17 12:45:00+00:00
BNBUSDT,short,1684598400000,1684703700000,311.5,314.3474857142857,2.0,False,2.0,TP,29.25,2023-05-20 16:00:00+00:00,2023-05-21 21:15:00+00:00
BNBUSDT,long,1685491200000,1685508300000,312.81,306.49485714285714,2.0,False,-1.0,SL,4.75,2023-05-31 00:00:00+00:00,2023-05-31 04:45:00+00:00
BNBUSDT,short,1685563200000,1685587500000,307.3,308.2219,3.0,True,3.0,TP,6.75,2023-05-31 20:00:00+00:00,2023-06-01 02:45:00+00:00
BNBUSDT,long,1687579200000,1687614300000,245.79,240.61102857142856,3.0,True,-1.0,SL,9.75,2023-06-24 04:00:00+00:00,2023-06-24 13:45:00+00:00
